Date,AAPL,MSFT,SPY,TSLA
2022-09-08,152.59947204589844,254.13882446289062,386.0253601074219,289.260009765625
2022-09-09,155.47442626953125,259.97808837890625,392.0223693847656,299.67999267578125
2022-09-12,161.46141052246094,262.1309814453125,396.2356872558594,304.4200134277344
2022-09-13,151.98692321777344,247.71946716308594,379.0063781738281,292.1300048828125
2022-09-14,153.4392547607422,247.94558715820312,380.4526062011719,302.6099853515625
2022-09-15,150.53465270996094,241.2215118408203,376.13323974609375,303.75
2022-09-16,148.884765625,240.59234619140625,373.263671875,303.3500061035156
2022-09-19,152.6192169189453,240.37606811523438,376.1584167480469,309.07000732421875
2022-09-20,155.01007080078125,238.34112548828125,371.84063720703125,308.7300109863281
2022-09-21,151.86837768554688,234.9004669189453,365.3543395996094,300.79998779296875
2022-09-22,150.9001922607422,236.89605712890625,362.2854309082031,288.5899963378906
2022-09-23,148.61802673339844,233.8878936767578,356.2153625488281,275.3299865722656
2022-09-26,148.9539031982422,233.4259033203125,352.69146728515625,276.010009765625
2022-09-27,149.93199157714844,232.4035186767578,351.7911071777344,282.94000244140625
2022-09-28,148.03512573242188,236.98452758789062,358.71307373046875,287.80999755859375
2022-09-29,140.76377868652344,233.47503662109375,351.2199401855469,268.2099914550781
2022-09-30,136.5353240966797,228.9530029296875,345.78887939453125,265.25
2022-10-03,140.73411560058594,236.66015625,354.9180603027344,242.39999389648438
2022-10-04,144.34019470214844,244.6621856689453,365.9158630371094,249.44000244140625
2022-10-05,144.63653564453125,244.97677612304688,365.0638427734375,240.80999755859375
2022-10-06,143.67822265625,242.60760498046875,361.2979736328125,238.1300048828125
2022-10-07,138.40255737304688,230.27027893066406,351.2199401855469,223.07000732421875
2022-10-10,138.7285919189453,225.36485290527344,348.5382385253906,222.9600067138672
2022-10-11,137.30593872070312,221.58993530273438,346.3310241699219,216.5
2022-10-12,136.6736297607422,221.92417907714844,345.1886291503906,217.24000549316406
2022-10-13,141.2676544189453,230.27027893066406,354.29852294921875,221.72000122070312
2022-10-14,136.71316528320312,224.6865234375,346.2244873046875,204.99000549316406
2022-10-17,140.69464111328125,233.50453186035156,355.1214294433594,219.35000610351562
2022-10-18,142.01849365234375,234.45809936523438,359.2939758300781,220.19000244140625
2022-10-19,142.1271514892578,232.4723358154297,356.7478942871094,222.0399932861328
2022-10-20,141.66281127929688,232.1479034423828,353.75640869140625,207.27999877929688
2022-10-21,145.49609375,238.01673889160156,362.3531799316406,214.44000244140625
2022-10-24,147.6498260498047,243.05979919433594,366.7871398925781,211.25
2022-10-25,150.5050048828125,246.41201782226562,372.6441955566406,222.4199981689453
2022-10-26,147.55104064941406,227.3997802734375,369.83660888671875,224.63999938964844
2022-10-27,143.05581665039062,222.90719604492188,367.8616943359375,225.08999633789062
2022-10-28,153.8640594482422,231.87266540527344,376.6134338378906,228.52000427246094
2022-10-31,151.49298095703125,228.19606018066406,373.8930358886719,227.5399932861328
2022-11-01,148.83534240722656,224.30316162109375,372.2569580078125,227.82000732421875
2022-11-02,143.28306579589844,216.3699493408203,362.9147033691406,214.97999572753906
2022-11-03,137.20712280273438,210.6190643310547,359.1778259277344,215.30999755859375
2022-11-04,136.93994140625,217.6380615234375,364.3475036621094,207.47000122070312
2022-11-07,137.47433471679688,224.0082244873047,367.83270263671875,197.0800018310547
2022-11-08,138.0482635498047,224.9912872314453,369.8172912597656,191.3000030517578
2022-11-09,133.4664764404297,220.70516967773438,362.19830322265625,177.58999633789062
2022-11-10,145.3415985107422,238.86216735839844,382.10260009765625,190.72000122070312
2022-11-11,148.14215087890625,242.9221649169922,385.80078125,195.97000122070312
2022-11-14,146.73692321777344,237.45639038085938,382.5188903808594,190.9499969482422
2022-11-15,148.47860717773438,237.86927795410156,385.7814025878906,194.4199981689453
2022-11-16,147.2415771484375,238.30303955078125,382.8383483886719,186.9199981689453
2022-11-17,149.15151977539062,238.2537384033203,381.66693115234375,183.1699981689453
2022-11-18,149.71559143066406,237.80027770996094,383.3998107910156,180.19000244140625
2022-11-21,146.4697265625,238.61849975585938,382.00579833984375,167.8699951171875
2022-11-22,148.61715698242188,241.55624389648438,387.1464538574219,169.91000366210938
2022-11-23,149.49789428710938,244.0701141357422,389.5860900878906,183.1999969482422
2022-11-25,146.56869506835938,243.9813690185547,389.4989013671875,182.86000061035156
2022-11-28,142.7191925048828,238.33262634277344,383.28369140625,182.9199981689453
2022-11-29,139.70091247558594,236.92291259765625,382.6253662109375,180.8300018310547
2022-11-30,146.48951721191406,251.52293395996094,394.67828369140625,194.6999969482422
2022-12-01,146.76661682128906,251.07931518554688,394.3878479003906,194.6999969482422
2022-12-02,146.2718048095703,251.40464782714844,393.9328308105469,194.86000061035156
2022-12-05,145.1041259765625,246.6529541015625,386.8463134765625,182.4499969482422
2022-12-06,141.42283630371094,241.6449737548828,381.27001953125,179.82000732421875
2022-12-07,139.47332763671875,240.90562438964844,380.6214294433594,174.0399932861328
2022-12-08,141.16551208496094,243.8926544189453,383.6031188964844,173.44000244140625
2022-12-09,140.68063354492188,241.94073486328125,380.7375793457031,179.0500030517578
2022-12-12,142.9863739013672,248.93020629882812,386.2267150878906,167.82000732421875
2022-12-13,143.95614624023438,253.27769470214844,389.15045166015625,160.9499969482422
2022-12-14,141.71971130371094,253.57342529296875,386.662353515625,156.8000030517578
2022-12-15,135.07949829101562,245.47984313964844,377.2039489746094,157.6699981689453
2022-12-16,133.11021423339844,241.22108459472656,372.7505798339844,150.22999572753906
2022-12-19,130.9924774169922,237.0411834716797,369.5898132324219,149.8699951171875
2022-12-20,130.92323303222656,238.37205505371094,370.0955810546875,137.8000030517578
2022-12-21,134.04042053222656,240.96478271484375,375.6294250488281,137.57000732421875
2022-12-22,130.8539581298828,234.81324768066406,370.27069091796875,125.3499984741211
2022-12-23,130.48777770996094,235.34555053710938,372.4004821777344,123.1500015258789
2022-12-27,128.6768341064453,233.60067749023438,370.93194580078125,109.0999984741211
2022-12-28,124.7283706665039,231.20510864257812,366.3220520019531,112.70999908447266
2022-12-29,128.26121520996094,237.59323120117188,372.9160461425781,121.81999969482422
2022-12-30,128.57786560058594,236.42013549804688,371.93365478515625,123.18000030517578
2023-01-03,123.7684555053711,236.1835174560547,370.3678894042969,108.0999984741211
2023-01-04,125.04503631591797,225.8520965576172,373.2272033691406,113.63999938964844
2023-01-05,123.71897888183594,219.15835571289062,368.9674072265625,110.33999633789062
2023-01-06,128.27110290527344,221.7412109375,377.4285888671875,113.05999755859375
2023-01-09,128.79559326171875,223.90016174316406,377.214599609375,119.7699966430664
2023-01-10,129.3695526123047,225.6056365966797,379.8600158691406,118.8499984741211
2023-01-11,132.10086059570312,232.4275360107422,384.6643981933594,123.22000122070312
2023-01-12,132.0216827392578,235.12869262695312,386.06488037109375,123.55999755859375
2023-01-13,133.35763549804688,235.8385009765625,387.56268310546875,122.4000015258789
2023-01-17,134.5253143310547,236.94259643554688,386.8526306152344,131.49000549316406
2023-01-18,133.80291748046875,232.46693420410156,380.74505615234375,128.77999877929688
2023-01-19,133.86231994628906,228.64195251464844,377.9732666015625,127.16999816894531
2023-01-20,136.4352569580078,236.81443786621094,385.01458740234375,133.4199981689453
2023-01-23,139.64154052734375,239.1409912109375,389.6341552734375,143.75
2023-01-24,141.04676818847656,238.60862731933594,389.2159729003906,143.88999938964844
2023-01-25,140.3837432861328,237.19891357421875,389.36181640625,144.42999267578125
2023-01-26,142.46188354492188,244.48416137695312,393.6410827636719,160.27000427246094
2023-01-27,144.41139221191406,244.6418914794922,394.5455322265625,177.89999389648438
2023-01-30,141.51190185546875,239.2691650390625,389.5952453613281,166.66000366210938
2023-01-31,142.7884521484375,244.29685974121094,395.3235778808594,173.22000122070312
2023-02-01,143.91656494140625,249.1667938232422,399.5250244140625,181.41000366210938
2023-02-02,149.25048828125,260.8488464355469,405.3409118652344,188.27000427246094
2023-02-03,152.89218139648438,254.68743896484375,401.0325012207031,189.97999572753906
2023-02-06,150.1510009765625,253.1298065185547,398.5816345214844,194.75999450683594
2023-02-07,153.04061889648438,263.7668762207031,403.7945556640625,196.80999755859375
2023-02-08,150.33905029296875,262.94866943359375,399.379150390625,201.2899932861328
2023-02-09,149.2999725341797,259.8826904296875,395.9169006347656,207.32000732421875
2023-02-10,149.66668701171875,259.3700866699219,396.8408203125,196.88999938964844
2023-02-13,152.48143005371094,267.4735412597656,401.49932861328125,194.63999938964844
2023-02-14,151.83718872070312,268.3115234375,401.3145446777344,209.25
2023-02-15,153.9482421875,266.1668701171875,402.6177673339844,214.24000549316406
2023-02-16,152.3426513671875,259.0808410644531,397.07421875,202.0399932861328
2023-02-17,151.19300842285156,255.03872680664062,396.0821838378906,208.30999755859375
2023-02-21,147.15916442871094,249.7118377685547,388.13641357421875,197.3699951171875
2023-02-22,147.58535766601562,248.56541442871094,387.6015319824219,200.86000061035156
2023-02-23,148.0709991455078,251.78724670410156,389.6632995605469,202.07000732421875
2023-02-24,145.40493774414062,246.30223083496094,385.5008544921875,196.8800048828125
2023-02-27,146.6041717529297,247.23123168945312,386.8137512207031,207.6300048828125
2023-02-28,146.09872436523438,246.49990844726562,385.3841247558594,205.7100067138672
2023-03-01,144.01739501953125,243.38677978515625,383.90576171875,202.77000427246094
2023-03-02,144.61204528808594,248.1701202392578,386.89154052734375,190.89999389648438
2023-03-03,149.6865234375,252.30116271972656,393.0964660644531,197.7899932861328
2023-03-06,152.46160888671875,253.86265563964844,393.3687744140625,193.80999755859375
2023-03-07,150.25140380859375,251.17449951171875,387.3388977050781,187.7100067138672
2023-03-08,151.51011657714844,250.72976684570312,387.9710998535156,182.0
2023-03-09,149.2504119873047,249.36593627929688,380.8131103515625,172.9199981689453
2023-03-10,147.1790313720703,245.67959594726562,375.31817626953125,173.44000244140625
2023-03-13,149.1314697265625,250.94720458984375,374.783203125,174.47999572753906
2023-03-14,151.23260498046875,257.73681640625,380.97845458984375,183.25999450683594
2023-03-15,151.6290740966797,262.3323059082031,378.5956726074219,180.4499969482422
2023-03-16,154.46365356445312,272.96636962890625,385.23822021484375,184.1300048828125
2023-03-17,153.62120056152344,276.1585388183594,380.73370361328125,180.1300048828125
2023-03-20,155.9998321533203,269.0428466796875,384.39471435546875,183.25
2023-03-21,157.8631134033203,270.57470703125,389.4420166015625,197.5800018310547
2023-03-22,156.42599487304688,269.1021728515625,382.80340576171875,191.14999389648438
2023-03-23,157.5162353515625,274.4092712402344,383.8382873535156,192.22000122070312
2023-03-24,158.82447814941406,277.2851867675781,386.3570251464844,190.41000366210938
2023-03-27,156.87200927734375,273.1442565917969,387.0794677734375,191.80999755859375
2023-03-28,156.24761962890625,272.00775146484375,386.2106018066406,189.19000244140625
2023-03-29,159.3398895263672,277.2259216308594,391.8241271972656,193.8800048828125
2023-03-30,160.91571044921875,280.7244567871094,394.1183776855469,195.27999877929688
2023-03-31,163.43313598632812,284.9246826171875,399.67333984375,207.4600067138672
2023-04-03,164.6918182373047,283.8672180175781,401.1962890625,194.77000427246094
2023-04-04,164.15663146972656,283.81781005859375,398.9703674316406,192.5800018310547
2023-04-05,162.3032684326172,281.01104736328125,397.9257507324219,185.52000427246094
2023-04-06,163.19528198242188,288.1860656738281,399.47808837890625,185.05999755859375
2023-04-10,160.58865356445312,286.001953125,399.8880920410156,184.50999450683594
2023-04-11,159.36959838867188,279.5186767578125,399.9954833984375,186.7899932861328
2023-04-12,158.6758270263672,280.1709899902344,398.3651123046875,180.5399932861328
2023-04-13,164.08724975585938,286.4466857910156,403.656494140625,185.89999389648438
2023-04-14,163.74037170410156,282.7900085449219,402.67047119140625,185.0
2023-04-17,163.76019287109375,285.4188232421875,404.11529541015625,187.0399932861328
2023-04-18,164.98916625976562,284.9938659667969,404.3788757324219,184.30999755859375
2023-04-19,166.13885498046875,285.07293701171875,404.3105773925781,180.58999633789062
2023-04-20,165.1675567626953,282.7603759765625,402.1042175292969,162.99000549316406
2023-04-21,163.5520782470703,282.4144287109375,402.4165954589844,165.0800018310547
2023-04-24,163.85931396484375,278.4710998535156,402.8363952636719,162.5500030517578
2023-04-25,162.31317138671875,272.1954650878906,396.44183349609375,160.6699981689453
2023-04-26,162.3032684326172,291.9119567871094,394.7626647949219,153.75
2023-04-27,166.91189575195312,301.26116943359375,402.6216735839844,160.19000244140625
2023-04-28,168.1705780029297,303.66278076171875,406.05810546875,164.30999755859375
2023-05-01,168.08139038085938,301.9825744628906,405.6480712890625,161.8300018310547
2023-05-02,167.04074096679688,301.8343505859375,401.0888366699219,160.30999755859375
2023-05-03,165.96044921875,300.836181640625,398.3358154296875,160.61000061035156
2023-05-04,164.31517028808594,301.8343505859375,395.5143737792969,161.1999969482422
2023-05-05,172.0260009765625,307.01300048828125,402.8363952636719,170.05999755859375
2023-05-08,171.9566192626953,305.03643798828125,402.94378662109375,171.7899932861328
2023-05-09,170.2420196533203,303.40576171875,401.1767272949219,169.14999389648438
2023-05-10,172.01608276367188,308.653564453125,403.0511779785156,168.5399932861328
2023-05-11,172.20440673828125,306.47930908203125,402.3482666015625,172.0800018310547
2023-05-12,171.27146911621094,305.3526916503906,401.821044921875,167.97999572753906
2023-05-15,170.77523803710938,305.83697509765625,403.2073974609375,166.35000610351562
2023-05-16,170.77523803710938,308.0902404785156,400.51287841796875,166.52000427246094
2023-05-17,171.39056396484375,311.002197265625,405.37469482421875,173.86000061035156
2023-05-18,173.73281860351562,315.47906494140625,409.2797546386719,176.88999938964844
2023-05-19,173.8419952392578,315.3007507324219,408.6842041015625,180.13999938964844
2023-05-22,172.8892059326172,318.1136474609375,408.8501892089844,188.8699951171875
